Organ system,Diagnosis,Positive scans (n),Individually analysed (Supplementary Table 2),Organ-system positive scans (n),System evaluated in Extended Data Fig. 3,Note
Endocrinology,Hyperparathyroidism,26,No,1242,Yes,—
Endocrinology,Vitamin d deficiency,21,No,1242,Yes,—
Endocrinology,Pituitary gland adenoma,6,No,1242,Yes,—
Endocrinology,Thyroid adenoma,6,No,1242,Yes,—
Endocrinology,Parathyroid adenoma,2,No,1242,Yes,—
Gastro,Peptic ulcer disease,1132,Yes,2434,Yes,—
Gastro,Vitamin B12 deficiency,528,Yes,2434,Yes,—
Gastro,Gallstone disease,419,Yes,2434,Yes,—
Gastro,Irritable bowel syndrome (IBS),407,Yes,2434,Yes,—
Gastro,Gastroduodenal ulcer,207,Yes,2434,Yes,—
Gastro,Folic acid deficiency,100,Yes,2434,Yes,—
Gastro,Lactose intolerance,45,No,2434,Yes,—
Gastro,Celiac,38,No,2434,Yes,—
Gastro,Inflammatory bowel disease (IBD),25,No,2434,Yes,—
Gastro,Iron deficiency,23,No,2434,Yes,—
Gastro,FMF,18,No,2434,Yes,—
Gastro,Gallbladder polyp,11,No,2434,Yes,—
Gastro,Esophagitis,10,No,2434,Yes,—
Gastro,Constipation,5,No,2434,Yes,—
Gastro,Barrett's esophagus,4,No,2434,Yes,—
Hematological,Anemia,523,Yes,694,Yes,—
Hematological,G6PD deficiency,114,Yes,694,Yes,—
Hematological,Thalassemia,41,No,694,Yes,—
Hematological,Hypercoagulability,37,No,694,Yes,—
Hematological,Lymphoma,16,No,694,Yes,—
Immunology,Food allergy,11,No,1471,No,—
Infectious disease,COVID-19,785,No,815,No,—
Infectious disease,Past malaria,32,No,815,No,—
Metabolic,Hyperlipidemia,2289,Yes,3380,Yes,—
Metabolic,Prediabetes,832,Yes,3380,Yes,—
Metabolic,Fatty liver disease,606,Yes,3380,Yes,—
Metabolic,Obesity,562,No,3380,Yes,—
Metabolic,Diabetes,133,Yes,3380,Yes,—
Metabolic,Primary hypercholesterolaemia,79,No,3380,Yes,—
Metabolic,Overweight,25,No,3380,Yes,—
Metabolic,Gestational diabetes,10,No,3380,Yes,—
Nephrology,Proteinuria,8,No,8,No,—
Neurologic,Attention deficit hyperactivity disorder (ADHD),1835,Yes,2851,Yes,—
Neurologic,Migraine,623,Yes,2851,Yes,—
Neurologic,Anxiety,390,Yes,2851,Yes,—
Neurologic,Depression,390,Yes,2851,Yes,—
Neurologic,Headache,254,Yes,2851,Yes,—
Neurologic,Post trauma (PTSD),17,No,2851,Yes,—
Neurologic,Eating disorder,10,No,2851,Yes,—
Neurologic,Bipolar disorder,9,No,2851,Yes,—
Neurologic,Hydrocephalus,5,No,2851,Yes,—
Neurologic,Neuropathy,2,No,2851,Yes,—
Obstetrics and gynaecology,Endometriosis and adenomyosis,246,No,519,No,—
Obstetrics and gynaecology,Polycystic ovary disease,241,No,519,No,—
Obstetrics and gynaecology,Perimenopausal disorders,38,No,519,No,—
Obstetrics and gynaecology,Uterine fibroid/ leiomyomas,23,No,519,No,—
Oncology,Basal cell carcinoma,224,No,512,No,—
Oncology,Breast cancer,149,No,512,No,—
Oncology,Squamous call carcinoma,67,No,512,No,—
Oncology,Prostate cancer,37,No,512,No,—
Oncology,Melanoma,36,No,512,No,—
Oncology,Colorectal carcinoma,15,No,512,No,—
Oncology,other,13,No,512,No,—
Oncology,Thyroid cancer,7,No,512,No,—
Oncology,Lung cancer,5,No,512,No,—
Oncology,Cervical cancer,2,No,512,No,—
Ophthalmology,Retinal detachment,95,No,288,No,—
Ophthalmology,Nearsightedness (myopia),78,No,288,No,—
Ophthalmology,Glaucoma,75,No,288,No,—
Ophthalmology,Keratoconus,23,No,288,No,—
Ophthalmology,Uveitis,22,No,288,No,—
Ophthalmology,Ocular hypertension,15,No,288,No,—
Orthopedic,Back pain,2055,Yes,2896,Yes,—
Orthopedic,Fracture,1004,No,2896,Yes,—
Orthopedic,Intervertebral disc disease,59,No,2896,Yes,—
Orthopedic,Meniscus tears,49,No,2896,Yes,—
Orthopedic,PES PLANUS,13,No,2896,Yes,—
Orthopedic,Tendon injury,9,No,2896,Yes,—
Orthopedic,Intervertebral disc stenosis cervical region,8,No,2896,Yes,—
Orthopedic,Tenosynovitis,8,No,2896,Yes,—
Orthopedic,Tendon rupture,4,No,2896,Yes,—
Other,Oral aphthae,397,No,397,No,—
Pulmonology,Asthma,573,Yes,587,Yes,—
Pulmonology,COPD,18,No,587,Yes,—
Pulmonology,Pulmonary hypertension,2,No,587,Yes,—
Rheumatology,Osteoarthritis,303,Yes,510,Yes,—
Rheumatology,Fibromyalgia,129,Yes,510,Yes,—
Rheumatology,Gout,98,No,510,Yes,—
Sleep,Sleep apnea,309,Yes,473,Yes,—
Sleep,Insomnia,173,Yes,473,Yes,—
Urology,Urinary tract infection,1090,No,1384,Yes,—
Urology,Urinary tract stones,307,Yes,1384,Yes,—
Urology,Renal stones,51,No,1384,Yes,—
Urology,Urinary incontinence,3,No,1384,Yes,—
