Index,Feature_Name,Measurement_Category
83,Legs fat mass - visit 2,Composition
84,Legs lean mass - visit 2,Composition
85,Legs tissue fat percentage - visit 2,Composition
86,Legs total mass - visit 2,Composition
87,Pelvis BMC (bone mineral content) - visit 2,Density/Structure
88,Pelvis BMD (bone mineral density) - visit 2,Density/Structure
89,Pelvis bone area - visit 2,Density/Structure
90,Ribs BMC (bone mineral content) - visit 2,Density/Structure
91,Ribs BMD (bone mineral density) - visit 2,Density/Structure
92,Ribs bone area - visit 2,Density/Structure
93,Spine BMC (bone mineral content) - visit 2,Density/Structure
94,Spine BMD (bone mineral density) - visit 2,Density/Structure
95,Spine bone area - visit 2,Density/Structure
96,Total BMC (bone mineral content) - visit 2,Density/Structure
97,Total BMD (bone mineral density) (left) - visit 2,Density/Structure
98,Total BMD (bone mineral density) (right) - visit 2,Density/Structure
99,Total BMD (bone mineral density) - visit 2,Density/Structure
100,Total BMD (bone mineral density) T-score - visit 2,Density/Structure
101,Total fat mass - visit 2,Composition
102,Total fat-free mass - visit 2,Composition
103,Total lean mass - visit 2,Composition
104,Total mass - visit 2,Composition
105,Total tissue fat percentage - visit 2,Composition
106,Total tissue mass - visit 2,Composition
107,Trunk BMC (bone mineral content) - visit 2,Density/Structure
108,Trunk BMD (bone mineral density) (left) - visit 2,Density/Structure
109,Trunk BMD (bone mineral density) (right) - visit 2,Density/Structure
110,Trunk BMD (bone mineral density) - visit 2,Density/Structure
111,Trunk bone area - visit 2,Density/Structure
112,Trunk fat mass - visit 2,Composition
113,Trunk lean mass - visit 2,Composition
114,Trunk tissue fat percentage - visit 2,Composition
115,Trunk total mass - visit 2,Composition
116,VAT (visceral adipose tissue) mass - visit 2,Composition
117,VAT (visceral adipose tissue) volume - visit 2,Density/Structure
